request_id,tenant_id,model_name,arrival_time_ms,estimated_runtime_ms,estimated_tokens,priority,deadline_ms,requires_gpu
stress-0001,standard,llm-large,0,420,1400,1,900,true
stress-0002,standard,llm-large,20,390,1200,1,1000,true
stress-0003,premium,llm-small,30,70,256,5,260,true
stress-0004,premium,llm-small,40,80,256,5,320,true
stress-0005,standard,embedder-v1,45,90,128,1,,false
stress-0006,standard,embedder-v1,55,85,128,1,,false
stress-0007,urgent,reranker-v1,65,75,220,4,260,false
stress-0008,batch-heavy,llm-large,90,360,1100,2,1200,true
stress-0009,batch-heavy,llm-large,95,350,1100,2,1250,true
stress-0010,premium,llm-small,120,65,256,5,420,true
stress-0011,standard,classifier-v2,130,95,96,1,,false
stress-0012,urgent,llm-small,145,60,256,4,360,true
stress-0013,standard,llm-large,180,410,1300,1,1300,true
stress-0014,premium,reranker-v1,200,70,220,5,390,false
stress-0015,batch-heavy,llm-large,220,340,1050,2,1400,true
stress-0016,standard,embedder-v1,260,80,128,1,,false
stress-0017,urgent,llm-small,300,55,256,4,470,true
stress-0018,standard,llm-large,340,430,1450,1,1600,true
